x,t,curvature,PIP3,LifeAct,NAP,PI34P2,PI45P2,PTEN,Myo1B,Myo1E,Coronin,Carmil,ArpB,PI4P
4,-60,0.0320854890806963,1.25973301567716,1.06470768320961,1.11369458333996,1.12566407418536,NaN,1.03352808309405,1.08495351427208,0.991605099362404,1.27299062806159,NaN,NaN,NaN
4,-57,0.033873695314443,1.25214736361283,0.965258279777266,1.06044372467855,1.07717053261433,NaN,1.11952112606033,0.842864843065161,1.05209682071436,1.13524990242892,NaN,NaN,NaN
4,-54,0.0335504057509999,1.40482942053589,0.869328936709341,1.02009095083043,1.00346863099475,NaN,1.13780463927651,0.908149708645455,1.11258854206632,1.46064174238652,NaN,NaN,NaN
4,-51,0.0349507735284554,1.33446213111191,0.892469892649941,1.03818869335686,1.06148811891324,NaN,1.01883788020599,0.946468007292309,1.17308026341828,1.19783881053645,NaN,NaN,NaN
4,-48,0.0283910439482343,1.12488104900447,0.879124386301107,1.04674850014804,0.97728657462229,NaN,1.08156911908147,0.984786305939163,1.08348442896578,0.947466632980624,NaN,NaN,NaN
4,-45,0.0306131282978083,1.0659499912841,0.950615021609531,1.05772152330706,0.993867248217165,NaN,1.07308170536378,1.02310460458602,1.11701668576648,0.953214998802883,NaN,NaN,NaN
4,-42,0.0307374883103659,1.06076369414903,0.929754527546544,1.06949435221432,1.08840740432732,NaN,0.965622420819866,1.06142290323287,1.17848035258183,0.933385436342832,NaN,NaN,NaN
4,-39,0.0336075546903689,1.08623720499276,0.96828659220854,1.10082640317673,1.02758018698516,NaN,0.993630046286302,1.09974120187973,1.18109218174784,0.862412506173662,NaN,NaN,NaN
4,-36,0.0346821349817771,1.03136505391178,0.998065872216925,1.05462528609143,1.06601170701969,NaN,1.03146108755604,1.13805950052658,1.04611968401465,0.822448851422142,NaN,NaN,NaN
4,-33,0.0303369775408515,1.0051189349652,1.0028679678036,1.05187303063622,0.977372995601343,NaN,0.932518657248392,1.17637779917343,0.986929962139575,0.860773540331218,NaN,NaN,NaN
4,-30,0.0353736628473272,1.07001334574664,1.19291977343628,1.01889723503697,1.13887222119108,NaN,1.02468204413792,1.21469609782029,0.899704710839078,0.934548427411958,NaN,NaN,NaN
4,-27,0.027120876670908,1.16605325271619,1.12507578992145,0.967818271723975,1.17837275718566,NaN,1.11060264203992,1.25629755199842,0.92572781010874,1.02518659963443,NaN,NaN,NaN
4,-24,0.0240071065234494,1.22820285506382,1.19980972305996,0.954849021104485,1.0909943047503,NaN,1.16698451745997,1.34241102745139,0.962657511742935,1.09826071697656,NaN,NaN,NaN
4,-21,0.021804614940829,1.29563050958349,1.00434925926764,0.930072166157369,1.00861937367722,NaN,1.1087461131323,1.4062734104979,1.023455003624,1.02077045805819,NaN,NaN,NaN
4,-18,0.0133529004131139,1.37868861930427,1.01292959818575,0.9559511059551,0.949808734252503,NaN,1.13378183932896,1.62061389427647,0.988600508646608,1.00550829786712,NaN,NaN,NaN
4,-15,0.0154529968949427,1.34586448363548,0.938587368552474,0.971420412909795,0.931653228548521,NaN,0.98869906532008,1.32313532202953,1.00954728222791,0.999428761062152,NaN,NaN,NaN
4,-12,0.0252133240661124,1.26463195899345,0.919824847676923,0.989782332596103,0.983644059267909,NaN,0.859314290867321,1.2724397084321,0.961162606300574,0.90527104810264,NaN,NaN,NaN
4,-9,0.0283108276606982,1.20094876055577,0.958501130620466,0.947590277863354,1.0356348899873,NaN,0.838600429817406,1.00487644615823,0.942117306720998,0.810104732675703,NaN,NaN,NaN
4,-6,0.0369834199605868,1.28915890001134,0.985136531699302,0.968449834215388,1.08762572070668,NaN,0.83090372622891,0.847291161643886,1.0032237817728,1.10614689264339,NaN,NaN,NaN
4,-3,0.0445516352416589,1.4357364775876,1.18812508129477,0.952993890224438,1.13961655142607,NaN,0.819323401432742,0.973684502396716,1.03926739870058,1.69947859173701,NaN,NaN,NaN
3.8,-60,0.0303690667072062,1.35097970491818,1.12055528975721,1.13703441432276,1.1367641529591,NaN,1.03008047761209,1.13585876426004,1.06331669733744,1.36589954389348,NaN,NaN,NaN
3.8,-57,0.0342576849566919,1.33926795792769,1.00913299816538,1.09293392324555,1.0810146785875,NaN,1.08486593144286,0.866722330439039,1.13190518805425,1.1731924212436,NaN,NaN,NaN
3.8,-54,0.0345240089826836,1.46537780561191,0.927530178886928,1.0552632486929,0.980414175980928,NaN,1.11351049336185,0.923626359440372,1.20049367877106,1.44105224935712,NaN,NaN,NaN
3.8,-51,0.0376923483968616,1.40503333741472,0.939897119549477,1.07032111282438,1.05220107883415,NaN,0.994172496826411,0.960499214670547,1.26908216948787,1.20888804094484,NaN,NaN,NaN
3.8,-48,0.0343722922357707,1.21838796374287,0.918114342580326,1.0736710903895,0.997412860547736,NaN,1.07041132203565,0.997372069900721,1.15840499823198,0.968605172832195,NaN,NaN,NaN
3.8,-45,0.0332583200665283,1.12383971664479,1.01043099931324,1.07982517516646,0.993826938676971,NaN,1.06239168333454,1.0342449251309,1.17067711691959,0.935246858132206,NaN,NaN,NaN
3.8,-42,0.028623455965253,1.10204023907584,0.999651925425475,1.07776688748742,1.09146153826627,NaN,0.883933980692237,1.07111778036107,1.21205312410069,0.925631943452243,NaN,NaN,NaN
3.8,-39,0.0323068486676,1.12544601632611,1.03974483134264,1.10431922040675,1.02760293638049,NaN,0.91300854607321,1.10799063559124,1.24378097990913,0.885987924308954,NaN,NaN,NaN
3.8,-36,0.0342195309494126,1.06376278348458,1.04752251241266,1.06729814294544,1.0738816077115,NaN,0.958266071567727,1.14486349082142,1.11403036208322,0.86785488732375,NaN,NaN,NaN
3.8,-33,0.0305293763545853,1.01946359774829,1.0575424941228,1.06185212625522,0.945006975976847,NaN,0.893096146147931,1.18173634605159,1.03548611165694,0.904484054511126,NaN,NaN,NaN
3.8,-30,0.0324347630286115,1.08966616312082,1.2363286380128,1.00496218481294,1.0954643545241,NaN,0.956184474609936,1.21860920128177,0.936613104185488,0.961527111965134,NaN,NaN,NaN
